,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
375,Ruidoso,40,US,1588217222,33,33.33,-105.67,54.39,9.17
376,Flinders,100,AU,1588217081,83,-34.58,150.86,57.92,5.01
377,Nizhniy Tsasuchey,97,RU,1588217222,20,50.52,115.13,66.6,7.05
378,Arrondissement de Saint-Denis,20,FR,1588217222,76,48.92,2.33,49.78,12.75
379,Khipro,19,PK,1588217222,16,25.83,69.38,94.12,14.7
380,Sistranda,30,NO,1588217223,56,63.73,8.83,41.0,12.75
381,Asău,51,RO,1588217223,76,46.43,26.4,52.0,5.23
382,Sucre,19,BO,1588217223,39,-19.03,-65.26,54.81,3.96
383,Montijo,75,PT,1588217223,87,38.71,-8.97,59.0,9.17
384,Shingū,20,JP,1588217223,68,33.73,135.98,68.0,8.05
385,Shangrao,98,CN,1588217223,43,28.45,117.97,84.69,2.77
386,Tuatapere,98,NZ,1588217047,62,-46.13,167.68,62.01,11.01
387,Huarmey,47,PE,1588217086,76,-10.07,-78.15,69.93,6.91
388,Mago,100,RU,1588217223,51,53.25,140.18,58.08,7.54
389,Roald,29,NO,1588217224,75,62.58,6.13,39.06,9.17
390,San Cristobal,66,VE,1588217093,64,7.77,-72.22,68.23,1.88
391,Honiara,20,SB,1588217224,66,-9.43,159.95,91.4,10.29
392,Acaraú,100,BR,1588217224,85,-2.89,-40.12,78.67,10.07
393,Yulara,0,AU,1588217079,25,-25.24,130.99,60.8,14.99
394,Stokmarknes,0,NO,1588217224,65,68.56,14.91,30.52,5.01
395,Ilulissat,0,GL,1588217224,45,69.22,-51.1,26.6,6.93
396,Oshikango,0,NA,1588217224,59,-17.4,15.88,66.2,4.7
397,Saint-Pierre,75,RE,1588216949,72,-21.34,55.48,65.48,6.93
398,Kuala Terengganu,40,MY,1588217225,88,5.33,103.14,80.31,1.12
399,Marsh Harbour,54,BS,1588217225,82,26.54,-77.06,76.28,21.27
400,Tessalit,0,ML,1588217225,12,20.2,1.01,80.89,13.6
401,Ukiah,1,US,1588217225,67,39.15,-123.21,58.19,14.99
402,Minsk,100,BY,1588217039,80,53.9,27.57,39.2,8.95
403,Pevek,63,RU,1588217225,94,69.7,170.31,21.09,12.77
404,Caravelas,0,BR,1588217225,80,-17.71,-39.25,71.42,1.28
405,Xai-Xai,19,MZ,1588217226,95,-25.05,33.64,65.55,5.14
406,La Rioja,20,ES,1588217226,62,42.25,-2.5,53.6,10.29
407,Bartoszyce,84,PL,1588217226,87,54.25,20.81,37.08,4.61
408,Jumla,50,NP,1588217226,27,29.27,82.18,59.45,3.29
409,Vanimo,16,PG,1588217226,60,-2.67,141.3,88.11,5.55
410,Saskylakh,100,RU,1588217226,96,71.92,114.08,21.43,11.18
411,Madikeri,90,IN,1588217226,50,12.42,75.73,75.97,0.16
412,Belém,75,BR,1588216972,94,-1.46,-48.5,77.0,4.7
413,Gazli,0,UZ,1588217227,32,40.13,63.45,70.68,7.76
414,Riyadh,46,SA,1588217227,37,24.69,46.72,82.4,2.24
415,Flin Flon,85,CA,1588217227,69,54.77,-101.86,42.78,2.8
416,Metro,96,ID,1588217122,74,-5.11,105.31,83.3,1.7
417,Sun Valley,1,US,1588217227,37,39.6,-119.78,68.86,4.7
418,Oga,72,IT,1588217227,92,46.46,10.35,32.54,1.12
419,Harper,64,LR,1588217227,84,4.38,-7.72,79.74,2.93
420,Darhan,67,MN,1588217227,24,49.49,105.92,77.74,18.92
421,Grand Gaube,2,MU,1588217228,73,-20.01,57.66,75.0,5.01
422,Grão Mogol,4,BR,1588217228,74,-16.56,-42.89,57.0,1.9
423,Palmer,90,US,1588217228,39,42.16,-72.33,47.26,9.17
424,Cap-aux-Meules,5,CA,1588217228,88,47.38,-61.86,32.0,10.29
425,Bozhou,100,CN,1588217228,41,33.88,115.77,87.21,12.1
426,Plettenberg Bay,36,ZA,1588217055,46,-34.05,23.37,62.38,4.63
427,Monte Alto,92,BR,1588217228,61,-21.26,-48.5,61.93,3.22
428,Mackay,25,AU,1588217228,69,-21.15,149.2,82.24,11.41
429,Wattegama,100,LK,1588217229,75,6.8,81.48,82.94,1.54
430,Verkhnevilyuysk,53,RU,1588217229,68,63.45,120.32,39.16,3.56
431,Qasigiannguit,0,GL,1588217229,45,68.82,-51.19,26.6,6.93
432,Saint-François,100,FR,1588217229,76,46.42,3.91,53.6,3.36
433,Dukat,96,RU,1588217229,82,62.55,155.55,25.99,6.82
434,Birao,100,CF,1588217229,45,10.28,22.79,76.95,3.11
435,Ballina,40,AU,1588217229,69,-28.87,153.57,82.44,14.99
436,Guácimo,100,CR,1588217230,83,10.21,-83.68,67.39,6.93
437,Pabradė,100,LT,1588217230,74,55.0,25.78,35.87,4.7
438,Xining,0,CN,1588217230,10,36.62,101.77,63.52,1.34
439,Lakhnādon,6,IN,1588217230,19,22.6,79.6,90.39,7.16
440,Pagudpud,20,PH,1588217230,74,18.56,120.79,87.8,8.05
441,Rocha,0,UY,1588217230,71,-34.48,-54.33,57.0,12.48
442,Nouakchott,3,MR,1588217140,51,18.09,-15.98,73.29,15.5
443,Hualmay,31,PE,1588217231,77,-11.1,-77.61,68.61,4.5
444,Cavalcante,2,BR,1588217041,64,-13.8,-47.46,64.11,4.68
445,Morón,0,AR,1588217037,87,-34.65,-58.62,56.19,6.93
446,Qaqortoq,0,GL,1588217231,59,60.72,-46.03,37.4,2.24
447,Paithan,40,IN,1588217231,36,19.48,75.38,91.4,6.93
448,Namatanai,88,PG,1588216984,71,-3.67,152.43,85.46,1.68
449,Amarante do Maranhão,91,BR,1588217231,84,-5.57,-46.74,72.48,3.49
450,Gubkinskiy,100,RU,1588217231,89,64.43,76.5,28.72,24.32
451,Pangnirtung,62,CA,1588217091,90,66.15,-65.71,26.26,3.71
452,Mechanicsville,75,US,1588217232,64,37.61,-77.37,69.35,16.11
453,Dalmatovo,94,RU,1588217232,66,56.26,62.94,43.84,10.58
454,Saldanha,0,ZA,1588217071,62,-33.01,17.94,51.8,1.12
455,Tucumcari,1,US,1588217232,29,35.17,-103.72,60.8,4.7
456,Ponta Delgada,75,PT,1588217232,93,37.73,-25.67,62.6,17.22
457,Novyy Urgal,100,RU,1588217232,24,51.07,132.56,65.14,17.13
458,Lima,43,PE,1588217103,82,-12.04,-77.03,68.0,3.36
459,Province of Mantua,43,IT,1588217039,88,45.17,10.78,52.77,3.0
460,Ambon City,40,ID,1588217233,79,-3.7,128.18,84.2,8.05
461,Pudozh,100,RU,1588217233,96,61.81,36.53,27.73,6.44
462,Whitehorse,75,CA,1588217233,42,60.72,-135.05,44.73,13.87
463,Ostrovnoy,100,RU,1588217233,96,68.05,39.51,28.65,15.21
464,Katastari,40,GR,1588217233,93,37.83,20.77,59.94,7.81
465,Valparaíso,10,CL,1588216981,81,-33.04,-71.63,50.0,4.7
466,Bambanglipuro,2,ID,1588217233,68,-7.95,110.28,85.78,12.88
467,Jinji,63,CN,1588217234,61,23.23,110.83,81.68,4.47
468,Stornoway,100,GB,1588217127,75,58.21,-6.39,43.93,8.05
469,Gēdo,100,ET,1588217234,39,9.02,37.45,58.41,0.96
470,Maceió,20,BR,1588217234,94,-9.67,-35.74,73.4,3.36
471,Seoul,1,KR,1588217234,46,37.57,126.98,69.8,6.93
472,Amoy,16,CN,1588217234,54,24.48,118.08,82.4,6.71
473,The Valley,75,AI,1588217234,78,18.22,-63.06,79.52,9.17
474,Buraidah,85,SA,1588217235,64,26.33,43.98,71.6,10.29
475,Samarai,56,PG,1588217235,77,-10.62,150.67,83.93,10.87
476,Micheweni,98,TZ,1588217235,88,-4.97,39.83,78.28,10.67
477,Kununurra,3,AU,1588217236,18,-15.77,128.73,96.8,12.75
478,Miraflores,75,MX,1588217236,48,19.22,-98.81,64.4,5.82
479,Barra de Tecoanapa,76,MX,1588217236,83,16.52,-98.75,78.89,4.52
480,Bidor,40,MY,1588217236,74,4.11,101.29,85.55,3.36
481,Omboué,100,GA,1588217236,92,-1.57,9.26,76.98,10.51
482,Makueni Boma,94,KE,1588217236,68,-1.8,37.62,62.89,4.25
483,Dongying,0,CN,1588217236,22,37.46,118.49,91.81,10.71
484,Masvingo,3,ZW,1588217237,51,-20.06,30.83,61.23,3.91
485,Walkerburn,92,GB,1588217237,33,55.62,-3.02,39.43,1.99
486,Faanui,8,PF,1588217237,69,-16.48,-151.75,82.11,1.57
487,Ati,43,TD,1588217237,18,13.22,18.34,81.36,2.71
488,Bull Savanna,10,JM,1588217237,79,17.89,-77.59,74.57,6.8
489,Zhatay,28,RU,1588217237,38,62.16,129.83,39.2,8.95
490,Kroya,37,ID,1588217237,70,-7.63,109.25,85.57,11.56
491,Oudtshoorn,0,ZA,1588217238,66,-33.59,22.2,55.4,3.36
492,Vila Franca do Campo,75,PT,1588217238,93,37.72,-25.43,62.6,17.22
493,Mujiayingzi,39,CN,1588217238,14,42.12,118.78,77.92,5.86
494,Arrondissement de Bastia,45,FR,1588217238,62,42.67,9.33,56.88,6.93
495,Dongsheng,0,CN,1588217238,8,39.82,109.98,78.94,9.66
496,Byron Bay,40,AU,1588217238,69,-28.65,153.62,82.9,14.99
497,Sanmenxia,90,CN,1588217238,20,34.77,111.18,85.59,4.72
498,Cabedelo,40,BR,1588217238,94,-6.98,-34.83,77.0,10.89
499,Ozuluama de Mascareñas,75,MX,1588217238,78,21.67,-97.85,80.6,9.17
500,Gizo Government Station,22,SB,1588217239,73,-8.1,156.84,85.51,7.94
501,Beringovskiy,100,RU,1588217077,94,63.05,179.32,28.38,6.89
502,Ayan,100,RU,1588217239,97,56.45,138.17,31.17,12.68
503,Nabire,95,ID,1588217107,77,-3.37,135.48,83.1,5.46
504,Mugumu,100,TZ,1588217239,64,-1.85,34.7,60.37,2.82
505,Padang,100,ID,1588217239,86,-0.95,100.35,77.31,3.91
506,Balikpapan,35,ID,1588217014,84,-1.27,116.83,82.27,3.49
507,Gazojak,0,TM,1588217239,42,41.19,61.4,61.97,15.59
508,Molteno,0,ZA,1588217239,47,-31.4,26.36,41.22,1.7
509,Kyaikto,72,MM,1588217240,56,17.3,97.02,87.84,2.66
510,Achit,100,RU,1588217240,87,56.8,57.9,38.97,10.13
511,Yaan,100,NG,1588217240,79,7.38,8.57,78.85,9.15
512,Kerrobert,75,CA,1588217240,30,51.92,-109.13,57.51,8.05
513,Mukono,20,UG,1588217240,83,0.35,32.76,73.4,5.82
514,Puerto del Rosario,4,ES,1588217240,72,28.5,-13.86,64.4,12.75
515,Umba,100,RU,1588217240,95,66.69,34.34,26.42,10.87
516,Bograd,92,RU,1588217241,40,54.23,90.83,69.8,15.66
517,Beitbridge,8,ZW,1588217241,64,-22.22,30.0,67.39,7.31
518,Bereda,100,ES,1588217241,97,43.27,-7.54,51.62,11.99
519,Bam,76,IR,1588217241,24,29.11,58.36,73.98,3.85
520,São José da Coroa Grande,98,BR,1588217241,85,-8.9,-35.15,78.06,6.44
521,Ségou,95,ML,1588217241,44,13.43,-6.22,87.53,8.3
522,Ilebo,100,CD,1588217241,79,-4.32,20.58,71.53,1.19
523,Shubarkuduk,17,KZ,1588217241,57,49.14,56.49,49.39,14.47
524,Saint Lawrence,0,MT,1588217241,93,36.06,14.2,59.36,10.29
525,Safaga,0,EG,1588217242,42,26.73,33.94,68.0,13.87
526,San Policarpo,69,PH,1588217242,74,12.18,125.51,84.38,12.71
527,Khani,34,GE,1588217242,51,41.96,42.96,60.8,23.04
528,Kisangani,37,CD,1588217242,80,0.52,25.2,70.54,1.28
529,Mayo,75,US,1588217019,77,38.89,-76.51,63.01,12.75
530,Adrar,63,MR,1588217057,19,20.5,-10.07,82.71,13.85
531,Muskegon,90,US,1588217242,87,43.3,-86.13,44.01,3.36
532,Albrechtice,90,CZ,1588217242,93,49.79,18.52,50.9,2.24
533,Taitung City,75,TW,1588217242,61,22.76,121.14,82.4,10.29
534,Brae,100,GB,1588217242,86,60.4,-1.35,41.0,8.05
535,Quzhou,100,CN,1588217243,52,28.96,118.87,81.75,1.83
536,Chuncheng,100,CN,1588217243,61,22.17,111.79,81.0,5.97
537,Pacific Grove,100,US,1588217072,92,36.62,-121.92,55.92,1.99
538,Cové,97,BJ,1588217243,89,7.22,2.34,76.55,0.96
539,Hervey Bay,100,AU,1588217243,72,-25.3,152.85,82.0,4.0
540,Cedar City,1,US,1588217214,37,37.68,-113.06,66.2,6.93
541,Santa Maria,0,BR,1588217243,93,-29.68,-53.81,55.4,1.36
542,Labuhan,17,ID,1588217243,72,-6.88,112.21,84.49,7.72
543,Sinnamary,100,GF,1588217075,88,5.38,-52.95,77.97,11.97
544,Taltal,15,CL,1588217067,78,-25.4,-70.48,60.01,1.01
545,Basco,83,PH,1588217244,83,20.45,121.97,79.25,16.04
546,Giohar,100,SO,1588217244,84,2.78,45.5,78.96,9.08
547,Irbeyskoye,100,RU,1588217244,53,55.64,95.45,58.35,23.26
548,Narsaq,0,GL,1588217052,59,60.92,-46.05,37.4,2.24
549,Cayambe,75,EC,1588217244,93,0.05,-78.13,59.0,4.7
550,Pimentel,80,PE,1588217244,78,-6.84,-79.93,69.19,11.36
551,Nome,1,US,1588217244,80,64.5,-165.41,31.19,8.05
